Maximum fit for each generation: 
Best fit for generation 0: 519
Best fit for generation 1: 519
Best fit for generation 2: 519
Best fit for generation 3: 519
Best fit for generation 4: 519
Best fit for generation 5: 519
Best fit for generation 6: 519
Best fit for generation 7: 519
Best fit for generation 8: 519
Best fit for generation 9: 519
Best fit for generation 10: 519
Best fit for generation 11: 519
Best fit for generation 12: 519
Best fit for generation 13: 519
Best fit for generation 14: 519
Best fit for generation 15: 519
Best fit for generation 16: 519
Best fit for generation 17: 519
Best fit for generation 18: 519
Best fit for generation 19: 519
Best fit for generation 20: 519
Best fit for generation 21: 519
Best fit for generation 22: 519
Best fit for generation 23: 535
Best fit for generation 24: 535
Best fit for generation 25: 535
Best fit for generation 26: 535
Best fit for generation 27: 535
Best fit for generation 28: 535
Best fit for generation 29: 535
Best fit for generation 30: 535
Best fit for generation 31: 535
Best fit for generation 32: 535
Best fit for generation 33: 535
Best fit for generation 34: 535
Best fit for generation 35: 535
Best fit for generation 36: 535
Best fit for generation 37: 535
Best fit for generation 38: 535
Best fit for generation 39: 535
Best fit for generation 40: 535
Best fit for generation 41: 535
Best fit for generation 42: 535
Best fit for generation 43: 535
Best fit for generation 44: 535
Best fit for generation 45: 535
Best fit for generation 46: 535
Best fit for generation 47: 535
Best fit for generation 48: 535
Best fit for generation 49: 535
Best fit for generation 50: 535
Best fit for generation 51: 535
Best fit for generation 52: 535
Best fit for generation 53: 535
Best fit for generation 54: 535
Best fit for generation 55: 535
Best fit for generation 56: 535
Best fit for generation 57: 535
Best fit for generation 58: 535
Best fit for generation 59: 535
Best fit for generation 60: 535
Best fit for generation 61: 535
Best fit for generation 62: 535
Best fit for generation 63: 535
Best fit for generation 64: 535
Best fit for generation 65: 535
Best fit for generation 66: 535
Best fit for generation 67: 535
Best fit for generation 68: 535
Best fit for generation 69: 535
Best fit for generation 70: 535
Best fit for generation 71: 535
Best fit for generation 72: 535
Best fit for generation 73: 535
Best fit for generation 74: 535
Best fit for generation 75: 535
Best fit for generation 76: 535
Best fit for generation 77: 535
Best fit for generation 78: 535
Best fit for generation 79: 535
Best fit for generation 80: 535
Best fit for generation 81: 535
Best fit for generation 82: 535
Best fit for generation 83: 535
Best fit for generation 84: 535
Best fit for generation 85: 535
Best fit for generation 86: 535
Best fit for generation 87: 535
Best fit for generation 88: 535
Best fit for generation 89: 535
Best fit for generation 90: 535
Best fit for generation 91: 535
Best fit for generation 92: 535
Best fit for generation 93: 535
Best fit for generation 94: 535
Best fit for generation 95: 535
Best fit for generation 96: 535
Best fit for generation 97: 535
Best fit for generation 98: 535
Best fit for generation 99: 535
Best fit for generation 100: 535
Best fit for generation 101: 535
Best fit for generation 102: 535
Best fit for generation 103: 535
Best fit for generation 104: 535
Best fit for generation 105: 535
Best fit for generation 106: 535
Best fit for generation 107: 535
Best fit for generation 108: 535
Best fit for generation 109: 535
Best fit for generation 110: 535
Best fit for generation 111: 535
Best fit for generation 112: 535
Best fit for generation 113: 535
Best fit for generation 114: 535
Best fit for generation 115: 535
Best fit for generation 116: 535
Best fit for generation 117: 535
Best fit for generation 118: 535
Best fit for generation 119: 535
Best fit for generation 120: 535
Best fit for generation 121: 535
Best fit for generation 122: 535
Best fit for generation 123: 535
Best fit for generation 124: 535
Best fit for generation 125: 535
Best fit for generation 126: 535
Best fit for generation 127: 535
Best fit for generation 128: 535
Best fit for generation 129: 571
Best fit for generation 130: 571
Best fit for generation 131: 571
Best fit for generation 132: 571
Best fit for generation 133: 571
Best fit for generation 134: 571
Best fit for generation 135: 571
Best fit for generation 136: 571
Best fit for generation 137: 571
Best fit for generation 138: 571
Best fit for generation 139: 571
Best fit for generation 140: 571
Best fit for generation 141: 571
Best fit for generation 142: 571
Best fit for generation 143: 571
Best fit for generation 144: 571
Best fit for generation 145: 571
Best fit for generation 146: 571
Best fit for generation 147: 571
Best fit for generation 148: 571
Best fit for generation 149: 571
Best fit for generation 150: 571
Best fit for generation 151: 571
Best fit for generation 152: 571
Best fit for generation 153: 571
Best fit for generation 154: 571
Best fit for generation 155: 571
Best fit for generation 156: 571
Best fit for generation 157: 571
Best fit for generation 158: 571
Best fit for generation 159: 571
Best fit for generation 160: 571
Best fit for generation 161: 571
Best fit for generation 162: 571
Best fit for generation 163: 571
Best fit for generation 164: 571
Best fit for generation 165: 571
Best fit for generation 166: 571
Best fit for generation 167: 571
Best fit for generation 168: 571
Best fit for generation 169: 571
Best fit for generation 170: 571
Best fit for generation 171: 571
Best fit for generation 172: 571
Best fit for generation 173: 571
Best fit for generation 174: 571
Best fit for generation 175: 571
Best fit for generation 176: 571
Best fit for generation 177: 571
Best fit for generation 178: 571
Best fit for generation 179: 571
Best fit for generation 180: 571
Best fit for generation 181: 571
Best fit for generation 182: 571
Best fit for generation 183: 571
Best fit for generation 184: 571
Best fit for generation 185: 571
Best fit for generation 186: 571
Best fit for generation 187: 571
Best fit for generation 188: 571
Best fit for generation 189: 571
Best fit for generation 190: 571
Best fit for generation 191: 571
Best fit for generation 192: 571
Best fit for generation 193: 571
Best fit for generation 194: 571
Best fit for generation 195: 571
Best fit for generation 196: 571
Best fit for generation 197: 571
Best fit for generation 198: 571
Best fit for generation 199: 571
Best fit for generation 200: 571
Best fit for generation 201: 571
Best fit for generation 202: 571
Best fit for generation 203: 571
Best fit for generation 204: 571
Best fit for generation 205: 599
Best fit for generation 206: 599
Best fit for generation 207: 599
Best fit for generation 208: 599
Best fit for generation 209: 599
Best fit for generation 210: 599
Best fit for generation 211: 599
Best fit for generation 212: 599
Best fit for generation 213: 599
Best fit for generation 214: 599
Best fit for generation 215: 599
Best fit for generation 216: 599
Best fit for generation 217: 599
Best fit for generation 218: 599
Best fit for generation 219: 599
Best fit for generation 220: 599
Best fit for generation 221: 599
Best fit for generation 222: 599
Best fit for generation 223: 599
Best fit for generation 224: 599
Best fit for generation 225: 599
Best fit for generation 226: 599
Best fit for generation 227: 599
Best fit for generation 228: 599
Best fit for generation 229: 599
Best fit for generation 230: 599
Best fit for generation 231: 599
Best fit for generation 232: 599
Best fit for generation 233: 599
Best fit for generation 234: 599
Best fit for generation 235: 599
Best fit for generation 236: 599
Best fit for generation 237: 599
Best fit for generation 238: 599
Best fit for generation 239: 599
Best fit for generation 240: 599
Best fit for generation 241: 599
Best fit for generation 242: 599
Best fit for generation 243: 599
Best fit for generation 244: 599
Best fit for generation 245: 599
Best fit for generation 246: 599
Best fit for generation 247: 599
Best fit for generation 248: 599
Best fit for generation 249: 599
Best fit for generation 250: 599
Best fit for generation 251: 599
Best fit for generation 252: 599
Best fit for generation 253: 599
Best fit for generation 254: 599
Best fit for generation 255: 599
Best fit for generation 256: 599
Best fit for generation 257: 599
Best fit for generation 258: 599
Best fit for generation 259: 599
Best fit for generation 260: 599
Best fit for generation 261: 599
Best fit for generation 262: 599
Best fit for generation 263: 599
Best fit for generation 264: 599
Best fit for generation 265: 599
Best fit for generation 266: 599
Best fit for generation 267: 599
Best fit for generation 268: 599
Best fit for generation 269: 599
Best fit for generation 270: 599
Best fit for generation 271: 599
Best fit for generation 272: 599
Best fit for generation 273: 599
Best fit for generation 274: 599
Best fit for generation 275: 599
Best fit for generation 276: 599
Best fit for generation 277: 599
Best fit for generation 278: 599
Best fit for generation 279: 599
Best fit for generation 280: 599
Best fit for generation 281: 599
Best fit for generation 282: 599
Best fit for generation 283: 599
Best fit for generation 284: 599
Best fit for generation 285: 599
Best fit for generation 286: 599
Best fit for generation 287: 599
Best fit for generation 288: 599
Best fit for generation 289: 599
Best fit for generation 290: 599
Best fit for generation 291: 599
Best fit for generation 292: 599
Best fit for generation 293: 599
Best fit for generation 294: 599
Best fit for generation 295: 599
Best fit for generation 296: 599
Best fit for generation 297: 599
Best fit for generation 298: 614
Best fit for generation 299: 614
Best fit for generation 300: 614
Best fit for generation 301: 614
Best fit for generation 302: 614
Best fit for generation 303: 614
Best fit for generation 304: 614
Best fit for generation 305: 614
Best fit for generation 306: 614
Best fit for generation 307: 614
Best fit for generation 308: 614
Best fit for generation 309: 614
Best fit for generation 310: 614
Best fit for generation 311: 614
Best fit for generation 312: 614
Best fit for generation 313: 614
Best fit for generation 314: 614
Best fit for generation 315: 614
Best fit for generation 316: 614
Best fit for generation 317: 614
Best fit for generation 318: 614
Best fit for generation 319: 614
Best fit for generation 320: 614
Best fit for generation 321: 614
Best fit for generation 322: 614
Best fit for generation 323: 614
Best fit for generation 324: 614
Best fit for generation 325: 614
Best fit for generation 326: 614
Best fit for generation 327: 614
Best fit for generation 328: 614
Best fit for generation 329: 614
Best fit for generation 330: 614
Best fit for generation 331: 614
Best fit for generation 332: 614
Best fit for generation 333: 614
Best fit for generation 334: 614
Best fit for generation 335: 614
Best fit for generation 336: 614
Best fit for generation 337: 614
Best fit for generation 338: 614
Best fit for generation 339: 614
Best fit for generation 340: 614
Best fit for generation 341: 614
Best fit for generation 342: 614
Best fit for generation 343: 614
Best fit for generation 344: 614
Best fit for generation 345: 614
Best fit for generation 346: 614
Best fit for generation 347: 631
Best fit for generation 348: 631
Best fit for generation 349: 631
Best fit for generation 350: 631
Best fit for generation 351: 631
Best fit for generation 352: 631
Best fit for generation 353: 631
Best fit for generation 354: 631
Best fit for generation 355: 631
Best fit for generation 356: 631
Best fit for generation 357: 631
Best fit for generation 358: 631
Best fit for generation 359: 631
Best fit for generation 360: 631
Best fit for generation 361: 631
Best fit for generation 362: 631
Best fit for generation 363: 631
Best fit for generation 364: 631
Best fit for generation 365: 631
Best fit for generation 366: 634
Best fit for generation 367: 634
Best fit for generation 368: 634
Best fit for generation 369: 634
Best fit for generation 370: 634
Best fit for generation 371: 634
Best fit for generation 372: 634
Best fit for generation 373: 634
Best fit for generation 374: 634
Best fit for generation 375: 634
Best fit for generation 376: 634
Best fit for generation 377: 634
Best fit for generation 378: 634
Best fit for generation 379: 634
Best fit for generation 380: 634
Best fit for generation 381: 634
Best fit for generation 382: 634
Best fit for generation 383: 634
Best fit for generation 384: 634
Best fit for generation 385: 634
Best fit for generation 386: 634
Best fit for generation 387: 634
Best fit for generation 388: 634
Best fit for generation 389: 634
Best fit for generation 390: 634
Best fit for generation 391: 634
Best fit for generation 392: 634
Best fit for generation 393: 634
Best fit for generation 394: 634
Best fit for generation 395: 634
Best fit for generation 396: 634
Best fit for generation 397: 634
Best fit for generation 398: 634
Best fit for generation 399: 634
Best fit for generation 400: 634
Best fit for generation 401: 634
Best fit for generation 402: 634
Best fit for generation 403: 634
Best fit for generation 404: 634
Best fit for generation 405: 634
Best fit for generation 406: 634
Best fit for generation 407: 634
Best fit for generation 408: 634
Best fit for generation 409: 634
Best fit for generation 410: 634
Best fit for generation 411: 634
Best fit for generation 412: 634
Best fit for generation 413: 634
Best fit for generation 414: 634
Best fit for generation 415: 634
Best fit for generation 416: 634
Best fit for generation 417: 634
Best fit for generation 418: 634
Best fit for generation 419: 634
Best fit for generation 420: 634
Best fit for generation 421: 634
Best fit for generation 422: 634
Best fit for generation 423: 634
Best fit for generation 424: 634
Best fit for generation 425: 634
Best fit for generation 426: 634
Best fit for generation 427: 634
Best fit for generation 428: 634
Best fit for generation 429: 634
Best fit for generation 430: 634
Best fit for generation 431: 634
Best fit for generation 432: 634
Best fit for generation 433: 634
Best fit for generation 434: 634
Best fit for generation 435: 634
Best fit for generation 436: 634
Best fit for generation 437: 634
Best fit for generation 438: 634
Best fit for generation 439: 634
Best fit for generation 440: 634
Best fit for generation 441: 634
Best fit for generation 442: 634
Best fit for generation 443: 634
Best fit for generation 444: 634
Best fit for generation 445: 634
Best fit for generation 446: 634
Best fit for generation 447: 634
Best fit for generation 448: 634
Best fit for generation 449: 634
Best fit for generation 450: 634
Best fit for generation 451: 634
Best fit for generation 452: 634
Best fit for generation 453: 634
Best fit for generation 454: 634
Best fit for generation 455: 634
Best fit for generation 456: 634
Best fit for generation 457: 634
Best fit for generation 458: 634
Best fit for generation 459: 634
Best fit for generation 460: 634
Best fit for generation 461: 634
Best fit for generation 462: 634
Best fit for generation 463: 634
Best fit for generation 464: 634
Best fit for generation 465: 634
Best fit for generation 466: 634
Best fit for generation 467: 634
Best fit for generation 468: 634
Best fit for generation 469: 634
Best fit for generation 470: 634
Best fit for generation 471: 634
Best fit for generation 472: 634
Best fit for generation 473: 634
Best fit for generation 474: 634
Best fit for generation 475: 634
Best fit for generation 476: 634
Best fit for generation 477: 634
Best fit for generation 478: 634
Best fit for generation 479: 634
Best fit for generation 480: 634
Best fit for generation 481: 634
Best fit for generation 482: 634
Best fit for generation 483: 634
Best fit for generation 484: 634
Best fit for generation 485: 634
Best fit for generation 486: 634
Best fit for generation 487: 634
Best fit for generation 488: 634
Best fit for generation 489: 634
Best fit for generation 490: 634
Best fit for generation 491: 634
Best fit for generation 492: 634
Best fit for generation 493: 634
Best fit for generation 494: 634
Best fit for generation 495: 634
Best fit for generation 496: 634
Best fit for generation 497: 634
Best fit for generation 498: 634
Best fit for generation 499: 634
Best fit for generation 500: 634
Best fit for generation 501: 634
Best fit for generation 502: 634
Best fit for generation 503: 634
Best fit for generation 504: 634
Best fit for generation 505: 634
